time,open,high,low,close,vwap,volume,count
1684713600,1805.66,1825.23,1794.22,1817.70,1812.93,309.51064078,256
1684800000,1817.95,1870.62,1817.95,1855.56,1849.47,693.25362210,433
1684886400,1854.64,1854.64,1780.14,1800.71,1799.28,616.01612672,476
1684972800,1800.34,1816.51,1762.67,1806.91,1800.32,529.25552227,321
1685059200,1806.03,1838.21,1800.00,1830.10,1815.93,352.69114231,223
1685145600,1828.85,1834.02,1814.12,1831.20,1826.34,277.66541765,114
1685232000,1831.45,1917.36,1827.11,1912.46,1869.44,478.97971454,287
1685318400,1910.42,1925.41,1876.97,1894.16,1901.78,778.03957726,353
1685404800,1892.91,1916.33,1883.49,1900.25,1907.44,493.30364412,470
1685491200,1901.16,1906.84,1842.12,1875.32,1865.42,534.90334677,392
1685577600,1875.15,1887.39,1843.04,1860.70,1862.99,830.90912433,497
1685664000,1861.66,1910.59,1850.00,1906.73,1890.99,867.98666630,448
1685750400,1907.45,1907.52,1885.01,1888.65,1901.78,705.74549400,317
1685836800,1892.61,1913.06,1887.44,1890.30,1904.04,530.54699753,324
1685923200,1887.76,1890.71,1781.22,1812.11,1835.24,1419.15738105,759
1686009600,1811.11,1896.42,1800.00,1886.76,1854.03,1337.43738007,508
1686096000,1886.17,1895.90,1823.30,1833.35,1855.80,755.03938234,337
1686182400,1832.66,1860.06,1830.00,1849.71,1847.21,757.63426335,288
1686268800,1846.28,1854.96,1830.00,1837.24,1841.87,370.75436518,204
1686355200,1840.57,1844.81,1719.10,1752.66,1756.74,1693.30600759,966
1686441600,1752.97,1776.00,1740.94,1747.88,1755.81,406.68225293,238
1686528000,1753.48,1757.68,1722.72,1741.52,1738.55,1349.41324365,543
1686614400,1742.96,1765.55,1726.01,1735.08,1742.18,836.97843077,439
1686700800,1738.86,1748.49,1632.75,1651.94,1690.46,1465.65388710,1042
1686787200,1650.47,1676.76,1622.68,1665.30,1645.76,1581.69644732,932
1686873600,1665.49,1725.94,1650.00,1715.55,1688.66,1864.56936153,908
1686960000,1716.79,1766.93,1715.64,1727.23,1737.33,614.36025199,469
1687046400,1727.36,1745.43,1709.00,1724.19,1735.04,1647.13732826,520
1687132800,1720.61,1749.52,1702.63,1736.30,1724.70,1041.18309289,552
1687219200,1736.96,1795.07,1715.70,1792.03,1744.19,1558.16898198,687
1687305600,1793.12,1900.73,1788.48,1900.73,1847.28,1797.88112258,1211
1687392000,1889.88,1931.34,1867.65,1876.09,1906.68,2051.38574409,968
1687478400,1872.56,1936.86,1863.49,1892.85,1893.80,975.49511711,735
1687564800,1893.45,1904.97,1868.40,1876.09,1888.52,310.04999208,306
1687651200,1876.35,1933.72,1874.43,1901.68,1907.67,1474.16925223,647
1687737600,1900.60,1908.14,1838.96,1856.37,1875.09,1031.19127192,582
1687824000,1859.97,1912.28,1858.79,1890.11,1881.30,834.74044806,441
1687910400,1885.65,1885.65,1818.98,1834.53,1856.97,1229.84025172,616
1687996800,1829.99,1876.58,1829.78,1852.99,1853.61,666.29722373,439
1688083200,1849.46,1945.44,1826.82,1935.14,1895.38,1167.39104243,1048
1688169600,1936.26,1942.03,1912.22,1922.01,1924.40,94.17451047,109
1688256000,1921.62,1957.92,1888.96,1937.22,1924.55,628.13574483,594
1688342400,1938.31,1975.63,1933.92,1953.13,1953.79,1275.67108875,671
1688428800,1956.27,1964.77,1933.21,1935.80,1949.45,469.98484924,428
1688515200,1939.16,1941.04,1897.18,1913.29,1914.02,119.78666704,394
1688601600,1909.41,1956.24,1849.50,1849.93,1891.84,550.16139352,588
1688688000,1849.50,1875.20,1828.94,1870.21,1859.74,183.11726981,224
1688774400,1870.00,1871.93,1845.48,1863.12,1857.32,58.94463738,122
1688860800,1865.39,1877.43,1859.26,1864.17,1866.55,66.53534599,101
1688947200,1853.69,1904.17,1849.72,1878.49,1870.31,706.01619465,267
1689033600,1881.13,1890.00,1864.81,1877.68,1874.55,98.84403610,205
1689120000,1878.49,1899.77,1866.05,1872.20,1879.27,520.56393193,323
1689206400,1872.84,2014.13,1864.06,2006.36,1969.24,1358.70383927,897
1689292800,2005.34,2027.19,1901.00,1937.85,1948.61,1250.52105107,729
1689379200,1937.84,1944.54,1928.51,1931.89,1934.03,35.19655604,173
1689465600,1932.83,1942.22,1916.77,1924.61,1929.47,388.81602503,218
1689552000,1921.96,1934.47,1875.79,1913.43,1904.80,480.24315227,497
1689638400,1913.61,1916.00,1878.82,1898.29,1902.11,285.71645715,258
1689724800,1896.81,1920.21,1883.56,1890.09,1899.58,1155.52590558,397
1689811200,1887.40,1927.32,1880.00,1891.15,1891.89,881.30891413,449
1689897600,1891.00,1903.67,1886.35,1893.47,1896.01,93.52849518,162
1689984000,1895.31,1896.15,1853.75,1864.20,1881.41,291.62255643,233
1690070400,1865.38,1903.76,1860.68,1888.37,1885.21,461.98157094,316
1690156800,1888.17,1888.59,1835.96,1849.89,1858.73,896.70694765,498
1690243200,1849.64,1866.06,1847.72,1859.98,1858.26,206.80169126,204
1690329600,1856.67,1886.70,1849.72,1872.43,1860.28,519.97894094,363
1690416000,1871.76,1885.72,1855.98,1860.30,1868.52,421.81565919,273
1690502400,1861.18,1879.18,1856.60,1875.01,1866.33,376.11582986,220
1690588800,1875.00,1884.82,1870.29,1880.21,1875.13,57.18923233,139
1690675200,1880.23,1882.93,1849.87,1861.65,1862.85,272.78059225,205
1690761600,1861.52,1873.54,1852.70,1855.71,1862.44,624.89455250,268
1690848000,1859.70,1873.54,1814.48,1873.54,1838.65,976.58330195,459
1690934400,1874.33,1877.52,1820.83,1837.42,1845.87,460.71124435,317
1691020800,1838.63,1855.68,1826.20,1835.97,1841.05,297.13961397,188
1691107200,1834.48,1849.14,1814.22,1827.72,1835.43,775.28753143,370
1691193600,1827.72,1836.75,1823.80,1835.28,1828.75,569.76809780,103
1691280000,1834.66,1835.04,1825.01,1826.73,1830.05,290.46182041,229
1691366400,1825.47,1843.91,1801.00,1825.20,1826.18,873.73037292,488
1691452800,1828.67,1875.24,1825.22,1858.73,1851.33,442.16925430,472
1691539200,1858.00,1869.92,1845.19,1854.20,1857.12,423.43280395,303
1691625600,1854.91,1863.42,1846.49,1851.12,1854.50,374.26250729,203
1691712000,1850.99,1853.95,1838.12,1847.10,1844.14,145.35043685,145
1691798400,1847.18,1852.04,1845.68,1848.79,1848.87,52.02759681,101
1691884800,1848.71,1858.87,1834.78,1839.83,1848.00,84.59736669,115
1691971200,1839.69,1853.64,1838.52,1843.77,1842.50,494.93250810,227
1692057600,1843.90,1844.47,1812.86,1827.32,1831.83,467.38291760,275
1692144000,1827.75,1828.74,1796.80,1806.91,1811.10,732.16205113,385
1692230400,1805.96,1806.29,1551.00,1681.73,1681.56,2128.25354417,2511
1692316800,1681.85,1697.97,1640.95,1659.40,1675.90,1308.38863894,969
1692403200,1661.58,1693.80,1654.26,1669.67,1663.09,419.62000305,281
1692489600,1669.46,1692.60,1663.05,1683.77,1670.60,168.36617187,195
1692576000,1680.81,1687.38,1650.00,1666.66,1665.74,455.97969842,400
1692662400,1667.31,1667.31,1581.59,1634.31,1620.53,1322.40051701,702
1692748800,1634.31,1700.20,1630.00,1678.86,1658.36,457.35690281,535
1692835200,1679.75,1682.10,1636.41,1660.57,1659.72,355.66828922,3922
1692921600,1660.61,1675.75,1636.41,1653.87,1652.00,474.22644823,5206
1693008000,1652.37,1654.96,1643.74,1646.43,1648.38,136.96440731,1760
1693094400,1645.77,1659.42,1645.77,1657.72,1651.66,127.15191977,2184
1693180800,1657.12,1662.21,1621.50,1653.62,1643.06,453.84252847,4475
1693267200,1652.99,1744.48,1640.00,1729.20,1710.11,823.85484592,1585
1693353600,1730.13,1730.13,1696.60,1705.60,1714.22,1139.13700821,1673
